lon,lat,origin,,lon,lat,destination
120.33031,36.07492,e6,,120.33045,36.075554,e7
120.33045,36.075554,e7,,120.32985,36.076539,e8
120.32985,36.076539,e8,,120.33028,36.077815,e9
120.33028,36.077815,e9,,120.33019,36.078413,e10
120.33019,36.078413,e10,,120.33136,36.078559,e11
120.33136,36.078559,e11,,120.3332,36.078471,e12
120.3332,36.078471,e12,,120.33509,36.079098,e13
120.33509,36.079098,e13,,120.34546,36.081089,e14
120.34546,36.081089,e14,,120.34298,36.081315,e15
120.34298,36.081315,e15,,120.34145,36.082409,e16
120.34145,36.082409,e16,,120.34013,36.083291,e17
120.34013,36.083291,e17,,120.33885,36.083751,e18
120.33885,36.083751,e18,,120.33953,36.084494,e19
120.33953,36.084494,e19,,120.3386,36.084859,e20
120.3386,36.084859,e20,,120.33675,36.085668,e21
120.33675,36.085668,e21,,120.33675,36.085703,e22
120.33675,36.085703,e22,,120.34091,36.089991,e23
120.34091,36.089991,e23,,120.34248,36.090384,e24
120.34248,36.090384,e24,,120.34336,36.090257,e25
120.34336,36.090257,e25,,120.34501,36.089892,e26
120.34501,36.089892,e26,,120.34803,36.091292,e27
120.34803,36.091292,e27,,120.35353,36.096746,e28
120.35353,36.096746,e28,,120.35504,36.100916,e29
120.35504,36.100916,e29,,120.35748,36.102957,e30
120.35748,36.102957,e30,,120.36057,36.103424,e31
120.36057,36.103424,e31,,120.36172,36.103482,e32
120.36172,36.103482,e32,,120.3679,36.101091,e33
120.3679,36.101091,e33,,120.39161,36.101966,e34
120.39161,36.101966,e34,,120.39212,36.106282,e35
120.39212,36.106282,e35,,120.39039,36.110655,e36
120.39039,36.110655,e36,,120.40045,36.11602,e37
120.40045,36.11602,e37,,120.43258,36.144879,e38
120.43258,36.144879,e38,,120.43373,36.162889,e39
120.43373,36.162889,e39,,120.43351,36.182351,e40
120.43351,36.182351,e40,,120.44695,36.182817,e41
120.44695,36.182817,e41,,120.43991,36.202915,e42
120.43991,36.202915,e42,,120.44055,36.212875,e43
120.44055,36.212875,e43,,120.44214,36.23966,e44
120.44214,36.23966,e44,,120.44214,36.257939,e45
120.44214,36.257939,e45,,120.43869,36.280287,e46
120.43869,36.280287,e46,,120.44366,36.304402,e47
120.44366,36.304402,e47,,120.45746,36.317664,e48
120.45746,36.317664,e48,,120.47844,36.322549,e49
120.47844,36.322549,e49,,120.49368,36.331156,e50
120.49368,36.331156,e50,,120.523,36.338366,e51
120.523,36.338366,e51,,120.54858,36.357203,e52
120.54858,36.357203,e52,,120.546,36.348599,e53
120.546,36.348599,e53,,120.55232,36.366271,e54
120.55232,36.366271,e54,,120.5552,36.383241,e55
120.5552,36.383241,e55,,120.5552,36.383241,e56
120.5552,36.383241,e56,,120.55635,36.439472,e57
120.55635,36.439472,e57,,120.57244,36.488235,e58
120.57244,36.488235,e58,,120.57187,36.482896,e59
120.57187,36.482896,e59,,120.56928,36.559465,e60
120.56928,36.559465,e60,,120.52588,36.624836,e61
120.52588,36.624836,e61,,120.52041,36.679733,e62
120.32499,36.07263,f1,,120.32705,36.072958,f2
120.32705,36.072958,f2,,120.32838,36.073271,f3
120.32838,36.073271,f3,,120.32868,36.073585,f4
120.32868,36.073585,f4,,120.32947,36.0743,f5
120.32947,36.0743,f5,,120.33031,36.07492,f6
120.33031,36.07492,f6,,120.33045,36.075554,f7
120.33045,36.075554,f7,,120.32985,36.076539,f8
120.32985,36.076539,f8,,120.33028,36.077815,f9
120.33028,36.077815,f9,,120.33019,36.078413,f10
120.33019,36.078413,f10,,120.33136,36.078559,f11
120.33136,36.078559,f11,,120.3332,36.078471,f12
120.3332,36.078471,f12,,120.33509,36.079098,f13
120.33509,36.079098,f13,,120.34546,36.081089,f14
120.34546,36.081089,f14,,120.34298,36.081315,f15
120.34298,36.081315,f15,,120.34145,36.082409,f16
120.34145,36.082409,f16,,120.34013,36.083291,f17
120.34013,36.083291,f17,,120.33885,36.083751,f18
120.33885,36.083751,f18,,120.33953,36.084494,f19
120.33953,36.084494,f19,,120.3386,36.084859,f20
120.3386,36.084859,f20,,120.33675,36.085668,f21
120.33675,36.085668,f21,,120.33675,36.085703,f22
120.33675,36.085703,f22,,120.34091,36.089991,f23
120.34091,36.089991,f23,,120.34248,36.090384,f24
120.34248,36.090384,f24,,120.34336,36.090257,f25
120.34336,36.090257,f25,,120.34501,36.089892,f26
120.34501,36.089892,f26,,120.34803,36.091292,f27
120.34803,36.091292,f27,,120.35353,36.096746,f28
120.35353,36.096746,f28,,120.35504,36.100916,f29
120.35504,36.100916,f29,,120.35748,36.102957,f30
120.35748,36.102957,f30,,120.36057,36.103424,f31
120.36057,36.103424,f31,,120.36172,36.103482,f32
120.36172,36.103482,f32,,120.3679,36.101091,f33
120.3679,36.101091,f33,,120.39161,36.101966,f34
120.39161,36.101966,f34,,120.39212,36.106282,f35
120.39212,36.106282,f35,,120.39039,36.110655,f36
120.39039,36.110655,f36,,120.40045,36.11602,f37
120.40045,36.11602,f37,,120.43258,36.144879,f38
120.43258,36.144879,f38,,120.43373,36.162889,f39
120.43373,36.162889,f39,,120.43351,36.182351,f40
120.43351,36.182351,f40,,120.44695,36.182817,f41
120.44695,36.182817,f41,,120.43991,36.202915,f42
120.43991,36.202915,f42,,120.44055,36.212875,f43
120.44055,36.212875,f43,,120.44214,36.23966,f44
120.44214,36.23966,f44,,120.43906,36.254825,f45
120.43906,36.254825,f45,,120.41147,36.281829,f46
120.41147,36.281829,f46,,120.39709,36.291604,f47
120.39709,36.291604,f47,,120.37237,36.322782,f48
120.37237,36.322782,f48,,120.35225,36.335808,f49
120.35225,36.335808,f49,,120.34248,36.345111,f50
120.34248,36.345111,f50,,120.32638,36.366038,f51
120.32638,36.366038,f51,,120.26831,36.407876,f52
120.26831,36.407876,f52,,120.18265,36.427393,f53
120.18265,36.427393,f53,,120.0487,36.418565,f54
